Label;# Samples;Average;Min;Max;Std. Dev.;Error %;Throughput;Received KB/sec;Sent KB/sec;Avg. Bytes
test/autenticacion2/authentication-ui/assets/svg/countries/ci.svg-891;150;150;0;3045;432.34;0.00%;4.80184;2.28;3.08;485.9
test/autenticacion2/authentication-ui/assets/svg/countries/kr.svg-890;150;165;0;1061;342.13;0.00%;4.80246;4.16;3.08;886
test/autenticacion2/authentication-ui/assets/svg/countries/cu.svg-894;150;178;0;3034;406.84;0.00%;4.80184;3.09;3.08;658.9
test/autenticacion2/authentication-ui/assets/svg/countries/dk.svg-895;150;214;0;3057;495.94;0.00%;4.6745;2.43;3;533
test/autenticacion2/authentication-ui/assets/svg/countries/cr.svg-892;150;500;0;4215;701.95;0.00%;4.5125;311.68;2.9;70728
test/autenticacion2/authentication-ui/assets/svg/countries/hr.svg-893;150;575;0;5264;974.96;0.00%;4.48632;299.6;2.88;68383
test/autenticacion2/authentication-ui/assets/svg/countries/dm.svg-896;150;176;0;3059;472.24;0.00%;4.35426;46.3;2.79;10888
test/autenticacion2/authentication-ui/assets/svg/countries/ae.svg-900;150;102;0;3039;329.91;0.00%;4.353;2.17;2.79;511
test/autenticacion2/authentication-ui/assets/svg/countries/er.svg-901;150;179;0;3042;441.12;0.00%;4.35148;29.86;2.79;7027
test/autenticacion2/authentication-ui/assets/svg/countries/ec.svg-897;150;897;0;5288;1144.16;0.00%;4.19733;726.88;2.69;177331.9
test/autenticacion2/authentication-ui/assets/svg/countries/eg.svg-899;150;119;0;2131;287.88;0.00%;4.19698;97.32;2.69;23743.9
test/autenticacion2/authentication-ui/assets/svg/countries/sk.svg-902;150;139;0;3041;389.54;0.00%;4.08063;7.99;2.62;2006
test/autenticacion2/authentication-ui/assets/svg/countries/sv.svg-898;150;862;0;6621;1145.72;0.00%;3.94063;931.3;2.53;242003.9
test/autenticacion2/authentication-ui/assets/svg/countries/si.svg-903;150;155;0;2130;389.72;0.00%;3.95486;10.45;2.54;2704.9
test/autenticacion2/authentication-ui/assets/svg/countries/fm.svg-905;150;99;0;1067;250.79;0.00%;3.95413;3.98;2.54;1031.9
test/autenticacion2/authentication-ui/assets/svg/countries/us.svg-906;150;118;0;3046;347.93;0.00%;3.95549;4.16;2.54;1076
test/autenticacion2/authentication-ui/assets/svg/countries/ee.svg-907;150;111;0;3044;338.88;0.00%;3.85248;1.8;2.47;477.9
test/autenticacion2/authentication-ui/assets/svg/countries/es.svg-904;150;419;0;3237;714.73;0.00%;3.84537;189.59;2.47;50487
test/autenticacion2/authentication-ui/assets/svg/countries/et.svg-908;150;84;0;1068;227.84;0.00%;3.84615;3.8;2.47;1012
test/autenticacion2/authentication-ui/assets/svg/countries/mk.svg-909;150;197;0;3110;550.68;0.00%;3.84566;2.53;2.47;675
test/autenticacion2/authentication-ui/assets/svg/countries/ru.svg-910;150;130;0;3032;363.87;0.00%;3.57007;1.69;2.29;485.8
test/autenticacion2/authentication-ui/assets/svg/countries/fi.svg-912;150;152;0;3110;452.11;0.00%;3.57024;1.9;2.29;543.9
test/autenticacion2/authentication-ui/assets/svg/countries/ph.svg-911;150;99;0;3040;324.01;0.00%;3.57373;4.49;2.29;1285.9
test/autenticacion2/authentication-ui/assets/svg/countries/fr.svg-914;150;118;0;1059;284.44;0.00%;3.58792;1.7;2.3;486
test/autenticacion2/authentication-ui/assets/svg/countries/fj.svg-913;150;428;0;3124;685.8;0.00%;3.585;147.43;2.3;42110
test/autenticacion2/authentication-ui/assets/svg/countries/ge.svg-918;150;106;0;1062;262.62;0.00%;3.58149;3.76;2.3;1075.9
test/autenticacion2/authentication-ui/assets/svg/countries/gm.svg-916;150;113;0;3043;337.99;0.00%;3.58141;2.09;2.3;598
test/autenticacion2/authentication-ui/assets/svg/countries/ga.svg-915;150;165;0;3040;396.87;0.00%;3.57867;1.83;2.3;525
test/autenticacion2/authentication-ui/assets/svg/countries/gh.svg-917;150;139;0;1057;311.06;0.00%;3.5779;2.2;2.3;630.9
test/autenticacion2/authentication-ui/assets/svg/countries/gi.svg-919;150;187;0;3073;431.57;0.00%;3.57637;21.66;2.29;6203
test/autenticacion2/authentication-ui/assets/svg/countries/gd.svg-920;150;195;0;3034;422.07;0.00%;3.57543;4.52;2.29;1295
test/autenticacion2/authentication-ui/assets/svg/countries/gl.svg-923;150;98;0;1040;249.9;0.00%;3.57526;1.72;2.29;493.9
test/autenticacion2/authentication-ui/assets/svg/countries/gp.svg-924;150;175;0;3039;404.48;0.00%;3.57304;1.7;2.29;486
test/autenticacion2/authentication-ui/assets/svg/countries/gr.svg-921;150;213;0;3049;556.43;0.00%;3.57058;1.8;2.29;517
