Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Petición HTTP,200,491,236,1185,128.64,27.500%,132.89037,212.41,175.72,1636.7
Total,200,491,236,1185,128.64,27.500%,132.89037,212.41,175.72,1636.7
