Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Guardar orden,100,217,160,287,31.03,0.000%,84.96177,267.16,305.33,3220.0
TOTAL,100,217,160,287,31.03,0.000%,84.96177,267.16,305.33,3220.0
