Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Petición HTTP,400,418,183,1250,139.48,54.250%,202.83976,237.61,268.21,1199.5
Total,400,418,183,1250,139.48,54.250%,202.83976,237.61,268.21,1199.5
