Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Petición HTTP,400,1249,189,3830,900.32,0.000%,87.45081,153.55,109.74,1798.0
Total,400,1249,189,3830,900.32,0.000%,87.45081,153.55,109.74,1798.0
