Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Petición HTTP,50,231,170,401,50.09,0.000%,42.01681,58.47,29.30,1425.0
Total,50,231,170,401,50.09,0.000%,42.01681,58.47,29.30,1425.0
