Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Petición HTTP,100,202,179,251,16.99,0.000%,90.25271,195.67,193.02,2220.0
Total,100,202,179,251,16.99,0.000%,90.25271,195.67,193.02,2220.0
