Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Petición HTTP,400,1269,212,2702,569.30,0.000%,123.72410,172.17,86.27,1425.0
Total,400,1269,212,2702,569.30,0.000%,123.72410,172.17,86.27,1425.0
