Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Petición HTTP,200,616,215,1373,240.12,0.000%,118.69436,165.18,82.76,1425.0
Total,200,616,215,1373,240.12,0.000%,118.69436,165.18,82.76,1425.0
