Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Petición HTTP,50,196,171,258,16.36,0.000%,42.51701,92.18,90.93,2220.0
Total,50,196,171,258,16.36,0.000%,42.51701,92.18,90.93,2220.0
