Label,# Samples,Error %,Apdex Target (s),Apdex Value,Apdex Min Score,Apdex Rating,Small Group,Failed
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/seguridad/1.0/cuentas-vuce?tipoDocumento=2&numeroDocumento=40898006,2,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/seguridad/1.0/cuentas-vuce?tipoDocumento=2&numeroDocumento=70820383,2,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/seguridad/1.0/perfiles/101,1,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/seguridad/1.0/perfiles/110,1,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/seguridad/1.0/roles-permisos?perfilId=101,1,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/seguridad/1.0/roles-permisos?perfilId=110,1,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/ordenes-pago,1,0.0,2.0,0.5,0.94,Poor,true,true
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/ordenes-pago/2635?documentoId=64,8,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/ordenes-pago/regla-negocio?entidadId=0&actividadId=4&codPuertoNacional=YMS,1,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/ordenes-pago/regla-negocio?entidadId=17&actividadId=4&codPuertoNacional=YMS,1,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/pagos/escala/2635/detalles_zarpe/17,2,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/sp-pagos/1.0/tasas?entidadId=17&idComponente=CPN&textSearch=RN02,1,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-command/1.0/declaracion-jurada,2,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/declaracion-jurada/list?pageNumber=1&pageSize=25&entidad=17&djjFechaDesde=2025-09-20&djjFechaHasta=2025-09-20&due=CHY-2025-,1,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/declaracion-jurada/list?pageNumber=1&pageSize=25&entidad=17&djjFechaDesde=2025-09-20&djjFechaHasta=2025-09-20&due=YMS-2025-,2,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/declaracion-jurada?escalaId=2635&estado=S&documentId=64&estadoDdjjPago=A&rucAgente=20100010136,2,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/declaracion-jurada?escalaId=2635&estado=S&documentId=64&estadoDdjjPago=P&rucAgente=20100010136,1,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/ordenes-pago/2635?documentId=64&rucAgente=20100010136,2,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/tramiteyrectificacion-query/1.0/tramites/escala/2635/documento/64?indicadorES=S,7,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/translate/1.0/lang/es,4,0.0,2.0,1.0,0.94,Excellent,true,false
