Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
OLCE/v1/tiles-803,179,2597,0,15348,4179.87,0.000%,.58524,0.08,0.16,138.0
OLCE/spocs-802,163,2893,0,15725,4242.08,0.000%,.47924,0.63,0.24,1352.0
OLCE/success.txt-804,369,13748,0,22199,9401.37,0.000%,.88619,0.19,0.28,216.0
OLCE/canonical.html-806,378,174,0,21156,1357.63,0.000%,.90792,0.26,0.29,298.0
OLCE/success.txt-805,380,161,0,21133,1525.42,0.000%,.91272,0.19,0.29,216.0
OLCE/success.txt-807,380,50,0,71,3.00,0.000%,.91273,0.19,0.29,216.0
OLCE/success.txt-808,380,50,0,72,3.26,0.000%,.91273,0.19,0.29,216.0
OLCE/olce-wp/wp-json/olcerest/v2/indicador-809,183,16321,0,37265,9845.23,0.000%,.41442,0.84,0.32,2082.0
OLCE/olce-wp/categoria-indicador/medio-ambiente-811,199,21402,0,59751,13845.74,0.000%,.43083,10.41,0.79,24731.4
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-813,229,9484,0,42872,8442.85,0.000%,.52953,0.54,0.42,1039.6
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-815,276,10623,0,42922,9107.54,0.000%,.63765,0.64,0.50,1020.9
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-814,290,11049,0,54287,8946.50,0.000%,.64545,0.70,0.51,1112.0
OLCE/olce-wp/categoria-indicador/flujos-y-comercio-exterior/-816,306,13921,0,35060,9126.45,0.000%,.64918,16.24,0.58,25621.1
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-817,322,13586,0,41754,10000.83,0.000%,.65507,0.71,0.52,1102.1
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-819,347,13605,0,38213,9283.08,0.000%,.69266,0.71,0.55,1055.9
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-818,354,14210,0,42389,9476.74,0.000%,.68082,0.77,0.54,1158.5
OLCE/olce-wp/indicador/importaciones-a-traves-de-mecanismo-de-importa-facil/-820,376,16642,0,44799,9762.94,0.000%,.69325,15.32,0.64,22632.7
OLCE/vuce-olce-ui/indicador-nacional/2.12-822,391,619,0,15108,2162.13,0.000%,.72407,3.04,0.63,4292.8
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-824,412,16784,0,43558,10209.18,0.000%,.70793,0.73,0.58,1058.9
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-825,424,17181,0,40864,9788.08,0.000%,.70524,0.71,0.58,1034.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-823,415,17766,0,44786,10079.39,0.000%,.66760,0.73,0.54,1117.4
OLCE/submit/firefox-desktop/pageload/1/cc193f11-2008-42cc-b2eb-76b6f652190c-827,313,3061,0,15541,4106.30,0.000%,.50395,0.41,1.83,824.7
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.2-810,330,2535,0,15111,4182.22,0.000%,.53908,0.73,0.49,1389.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/2.12-826,398,748,0,15516,2645.18,0.000%,.65019,0.88,0.59,1389.8
OLCE/olce-wp/categoria-indicador/flujos-y-comercio-exterior-828,374,41772,0,91901,15496.37,0.000%,.57188,14.75,1.05,26404.9
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-831,416,20084,0,38155,7140.82,0.000%,.61682,0.71,0.49,1184.9
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-830,414,19753,0,41018,7690.04,0.000%,.59668,0.56,0.48,969.4
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-832,421,20064,0,44114,7054.55,0.000%,.59229,0.67,0.47,1155.5
OLCE/olce-wp/indicador/distribucion-de-las-importaciones-por-cuode-en-valor-monetario/-833,425,21519,0,48159,7328.07,0.000%,.58196,12.87,0.54,22641.5
OLCE/vuce-olce-ui/indicador-nacional/2.2.2-835,428,623,0,15111,2174.32,0.000%,.58621,2.47,0.52,4307.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-836,436,19830,0,44013,6509.44,0.000%,.56642,0.64,0.47,1158.3
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-838,428,20164,0,42924,6083.25,0.000%,.54495,0.54,0.45,1022.2
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-837,439,20200,0,53702,6495.92,0.000%,.54945,0.57,0.45,1062.1
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/2.2.2-839,421,1228,0,15120,3219.20,0.000%,.52695,0.71,0.48,1388.9
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/2.2.2-840,443,418,0,15338,1761.73,0.000%,.55444,43.07,1.59,79546.7
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/2.2.2-841,448,70,0,15086,715.25,0.000%,.56074,0.76,0.51,1390.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/2.2.2-842,449,96,0,3296,176.72,0.000%,.56195,43.65,1.61,79547.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/2.2.2-843,450,403,0,1536,149.99,0.000%,.56299,600.57,1.61,1092360.2
