Label,# Samples,Error %,Apdex Target (s),Apdex Value,Apdex Min Score,Apdex Rating,Small Group,Failed
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escala-seguimientos/search?escalaId=2635&documentoId=65,1,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/2635?escalaId=2635,6,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/autorizacion-zarpe/2635?tipoSeguimientoId=51,1,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/buscaravanzadanew,7,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/convoy/2635,3,0.0,2.0,1.0,0.94,Excellent,true,false
"https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/puertos/nacional?Listpuertos=CLL,PAI,YMS,CHM,ILQ",1,0.0,2.0,1.0,0.94,Excellent,true,false
"https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/puertos/nacional?Listpuertos=CLL,PAI,YMS,IQT,NAU,PUN,MRI,PIO,SJA,SNX,PAC,SVY,EEN,STR,CHY,HCO,SUP,ILQ,PUB,TYL,ZOR,PCL",1,0.0,2.0,1.0,0.94,Excellent,true,false
"https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/escalas/puertos/nacional?Listpuertos=CLL,YMS,IQT,NAU,PUN,PAI",1,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/motivo,2,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/motivo-escala/escala/2635,2,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/2635?estado=S,3,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/lista/2635,2,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/operacion/terminal/YMS,2,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/gestionduenave-query/1.0/supervision-due/documentos-vencidos?idEscala=2635,1,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/processdue/1.0/camunda/init,1,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/seguridad/1.0/cuentas-vuce?tipoDocumento=2&numeroDocumento=40898006,2,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/seguridad/1.0/cuentas-vuce?tipoDocumento=2&numeroDocumento=70820383,4,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/seguridad/1.0/perfiles/101,2,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/seguridad/1.0/perfiles/110,1,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/seguridad/1.0/roles-permisos?perfilId=101,2,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/seguridad/1.0/roles-permisos?perfilId=110,1,0.0,2.0,1.0,0.94,Excellent,true,false
https://gateway-apim-test.vuce.gob.pe/pass-through-https-cert/cp2/translate/1.0/lang/es,6,0.0,2.0,1.0,0.94,Excellent,true,false
https://landing-test.vuce.gob.pe/cp2/gestionduenave/tiempo/2635,1,0.0,2.0,1.0,0.94,Excellent,true,false
