Etiqueta,# Muestras,% Error,Apdex Value,Apdex Target (s),Apdex Rating,Small Group,Failed
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/categories?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____NT&t=ZQ%3D%3D-146,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/categories?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____NT&t=ZQ%3D%3D-147,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/categories?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____NT&t=ZQ%3D%3D-148,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/categories?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____NT-116,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/categories?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____NT-117,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/categories?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____directories_____carpetas-nuevas_____4df5fed0-9baa-4455-aaeb-16097348f18c&t=ZQ%3D%3D-186,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/categories?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____directories_____carpetas-nuevas_____4df5fed0-9baa-4455-aaeb-16097348f18c&t=ZQ%3D%3D-187,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/components-111,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/components?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR-110,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/directory?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____MS&t=ZQ%3D%3D-178,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/directory?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____MS&t=ZQ%3D%3D-179,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/filter?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____NT&t=ZQ%3D%3D-151,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/filter?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____NT&t=ZQ%3D%3D-152,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/filter?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____NT&t=ZQ%3D%3D-153,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/filter?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____NT&t=ZQ%3D%3D-154,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/filters/MR-150,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/filters/MR?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____NT&t=ZQ%3D%3D-149,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/messages/67f0037e559f783cbdd7b9ad-158,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/messages/67f0037e559f783cbdd7b9ad-163,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/messages/67f0037e559f783cbdd7b9ad-172,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/messages/67f0037e559f783cbdd7b9ad?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____MS&t=ZQ%3D%3D-157,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/messages/67f0037e559f783cbdd7b9ad?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____MS&t=ZQ%3D%3D-171,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/messages/680bde4e85f5df11d55dc8d0-119,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/messages/680bde4e85f5df11d55dc8d0?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____NT&t=ZQ%3D%3D-118,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/messages/680be6bc02f68c0207ccb246-126,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/messages/680be6bc02f68c0207ccb246-129,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/messages/680be6bc02f68c0207ccb246-134,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/messages/680be6bc02f68c0207ccb246?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____NT&t=ZQ%3D%3D-125,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/move-messages?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____MS&t=ZQ%3D%3D-182,1,0.0,1.0,2.0,Excellent,true,false
