Label,# Samples,Error %,Apdex Value,Apdex Target (s),Apdex Rating,Small Group,Failed
test/auth2/realms/autenticacion2/protocol/openid-connect/token-169,1,1.0,0.0,4.0,Unacceptable,true,true
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/cuenta-vuce/documento-124,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/cuenta-vuce/documento?tipoDocumento=1&numeroDocumento=20262996329-123,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/perfil/datos-perfil?perfilId=1088&componenteId=MR-154,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/perfil/rol-menu-permiso-gestor-acceso-150,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-api/1.0/perfil/rol-menu-permiso-gestor-acceso?perfilId=1088&componenteId=1-142,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-common-api/1.0/file-net/obtener-152,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-common-api/1.0/file-net/obtener?documentId=90CD2D93-0000-CF15-8A95-9155D5375617-143,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-common-api/1.0/keycloak/validate-public-token-121,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-common-api/1.0/keycloak/validate-public-token-122,1,1.0,0.0,4.0,Unacceptable,true,true
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametrica/parametro-126,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametrica/parametro-151,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametrica/parametro?codigo=21-144,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametrica/parametro?codigo=27-125,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametro/global-132,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametro/global-134,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametro/global?grupo=LINK_V2-133,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametro/global?grupo=VERSCOMP-131,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-parametry-api/1.0/parametro/unico-28,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-profile-api/1.0/perfil/actualizar-ingreso-mr?perfilId=1088-127,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-profile-api/1.0/perfil/actualizar-ingreso-mr?perfilId=1088-130,1,1.0,0.0,4.0,Unacceptable,true,true
test/pass-through-https-cert/autenticacion2/authentication-profile-api/1.0/perfil/actualizar-ingreso-mr?perfilId=1088-136,1,1.0,0.0,4.0,Unacceptable,true,true
test/pass-through-https-cert/autenticacion2/authentication-profile-api/1.0/perfil/auditPerfil-135,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-profile-api/1.0/perfil/auditPerfil-139,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-profile-api/1.0/perfil/ficha-ruc-129,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/authentication-profile-api/1.0/perfil/ficha-ruc?perfilId=1088-128,1,0.0,1.0,4.0,Excellent,true,false
test/pass-through-https-cert/autenticacion2/landing-componentes/1.0/aplicaciones-26,1,0.0,1.0,4.0,Excellent,true,false
