Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
OLCE/canonical.html-806,100,45,35,197,29.10,0.000%,.17433,0.05,0.06,298.0
OLCE/success.txt-805,100,59,35,186,49.42,0.000%,.17433,0.04,0.06,216.0
OLCE/success.txt-807,100,40,35,182,14.96,0.000%,.17437,0.04,0.06,216.0
OLCE/success.txt-808,100,40,35,181,14.65,0.000%,.17437,0.04,0.06,216.0
OLCE/olce-wp/wp-json/olcerest/v2/indicador-809,100,209,127,435,72.05,0.000%,.17434,0.35,0.14,2082.0
OLCE/olce-wp/categoria-indicador/medio-ambiente-811,100,477,271,1482,207.70,0.000%,.17431,4.19,0.32,24609.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-813,100,169,97,402,71.19,0.000%,.17442,0.15,0.14,902.4
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-815,100,175,97,446,76.52,0.000%,.17450,0.16,0.14,955.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-814,100,173,97,416,74.14,0.000%,.17454,0.16,0.14,951.1
OLCE/olce-wp/categoria-indicador/flujos-y-comercio-exterior/-816,100,363,185,1120,202.77,0.000%,.17454,4.35,0.16,25535.2
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-817,100,174,98,453,84.48,0.000%,.17465,0.18,0.14,1054.8
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-819,100,183,97,403,81.20,0.000%,.17465,0.19,0.14,1099.3
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-818,100,191,95,1113,125.23,0.000%,.17466,0.19,0.14,1118.7
OLCE/olce-wp/indicador/importaciones-a-traves-de-mecanismo-de-importa-facil/-820,100,360,164,961,195.02,0.000%,.17470,3.86,0.16,22643.9
OLCE/vuce-olce-ui/indicador-nacional/2.12-822,100,14,12,50,4.21,0.000%,.17499,0.71,0.15,4137.3
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-824,100,182,97,419,73.40,0.000%,.17502,0.15,0.14,880.3
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-825,100,186,91,430,82.20,0.000%,.17510,0.17,0.14,970.8
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-823,100,184,101,394,77.49,0.000%,.17518,0.16,0.14,947.7
OLCE/submit/firefox-desktop/pageload/1/cc193f11-2008-42cc-b2eb-76b6f652190c-827,100,241,194,344,22.56,0.000%,.17520,0.14,0.63,824.8
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/5.2-810,100,26,15,101,10.78,0.000%,.17525,0.24,0.16,1389.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/2.12-826,100,21,14,72,7.25,0.000%,.17525,0.24,0.16,1389.9
OLCE/olce-wp/categoria-indicador/flujos-y-comercio-exterior-828,100,570,274,1372,273.69,0.000%,.17516,4.48,0.32,26191.8
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-831,100,177,93,503,85.67,0.000%,.17548,0.20,0.14,1142.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-830,100,196,99,1209,159.62,0.000%,.17553,0.17,0.14,1019.1
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-832,100,178,100,422,79.76,0.000%,.17554,0.19,0.14,1114.7
OLCE/olce-wp/indicador/distribucion-de-las-importaciones-por-cuode-en-valor-monetario/-833,100,339,171,1012,172.02,0.000%,.17555,3.89,0.16,22683.3
OLCE/vuce-olce-ui/indicador-nacional/2.2.2-835,100,15,11,36,4.70,0.000%,.17568,0.71,0.16,4128.8
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-836,100,171,92,469,83.21,0.000%,.17570,0.16,0.14,951.1
